,STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,UNCERTAINTY
377,9054,Caesium-137,2015-10-05,73.61,Bq/m3,
378,10202,Caesium-137,2015-10-05,103.02,Bq/m3,
379,9054,Caesium-137,2021-10-05,64.65331615,Bq/m3,
380,9054,Caesium-137,2020-10-06,64.42818329,Bq/m3,
381,10202,Caesium-137,2020-10-06,114.0429759,Bq/m3,
382,10202,Caesium-137,2018-10-09,111.0430157,Bq/m3,
383,9054,Caesium-137,2021-11-10,84.03875433,Bq/m3,
384,10202,Caesium-137,2021-11-24,123.039234,Bq/m3,
385,9054,Caesium-137,2020-11-03,65.03684492,Bq/m3,
386,10202,Caesium-137,2020-11-03,137.0780191,Bq/m3,
387,10202,Caesium-137,2019-11-05,105.013285,Bq/m3,
388,10202,Caesium-137,2020-12-01,125.1031659,Bq/m3,
389,9054,Caesium-137,2018-12-10,65.31256552,Bq/m3,
390,10202,Caesium-137,2019-12-18,115.1079579,Bq/m3,
391,9054,Caesium-137,2019-12-19,62.77159885,Bq/m3,
392,9054,Caesium-137,2020-12-02,64.75339868,Bq/m3,
393,10202,Caesium-137,2021-12-02,140.1247788,Bq/m3,
394,9054,Caesium-137,2021-12-06,63.13194061,Bq/m3,
395,10202,Caesium-137,2011-02-01,78.91,Bq/m3,
396,9054,Caesium-137,2021-02-01,64.92874438,Bq/m3,
397,10202,Caesium-137,2021-02-01,114.0501903,Bq/m3,
398,10202,Caesium-137,2022-02-01,122.0617552,Bq/m3,
399,9054,Caesium-137,2022-02-02,64.83280114,Bq/m3,
400,9054,Caesium-137,2020-02-04,67.02490447,Bq/m3,
401,10202,Caesium-137,2020-02-04,122.0466352,Bq/m3,
402,10202,Caesium-137,2021-03-01,147.0751853,Bq/m3,
403,9054,Caesium-137,2021-03-02,74.8429918,Bq/m3,
404,10202,Caesium-137,2020-03-03,107.0394907,Bq/m3,
405,9054,Caesium-137,2018-03-07,66.72496883,Bq/m3,
406,10202,Caesium-137,2018-04-10,110.0487193,Bq/m3,
407,9054,Caesium-137,2019-04-10,64.75749497,Bq/m3,
408,10202,Caesium-137,2021-04-12,125.0550332,Bq/m3,
409,9054,Caesium-137,2021-04-13,63.62833631,Bq/m3,
410,10202,Caesium-137,2014-04-02,98.88,Bq/m3,
411,10202,Caesium-137,2022-04-20,130.1072926,Bq/m3,
412,9054,Caesium-137,2022-04-21,67.05512019,Bq/m3,
413,10202,Caesium-137,2015-04-22,103.03,Bq/m3,
414,9054,Caesium-137,2017-04-03,64.32830908,Bq/m3,
415,9054,Caesium-137,2023-04-03,62.15485685,Bq/m3,
416,10202,Caesium-137,2023-04-03,112.0992321,Bq/m3,
417,10202,Caesium-137,2011-04-04,84.76,Bq/m3,
418,9054,Caesium-137,2016-04-04,68.73477528,Bq/m3,
419,10202,Caesium-137,2016-04-04,112.0493098,Bq/m3,
420,10202,Caesium-137,2017-04-04,110.041468,Bq/m3,
421,10202,Caesium-137,2013-04-08,83.72,Bq/m3,
422,9054,Caesium-137,2020-04-08,61.72765248,Bq/m3,
