STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,Uncertainty
9054,Beryllium-7,7/4/11,863.84,Bq/m3,
9054,Beryllium-7,7/6/21,551.2368065,Bq/m3,
10202,Beryllium-7,7/6/21,1281.506337,Bq/m3,
10202,Beryllium-7,7/7/15,1030.86,Bq/m3,
9054,Beryllium-7,7/7/20,518.8931185,Bq/m3,
10202,Beryllium-7,7/7/20,1124.398851,Bq/m3,
10202,Beryllium-7,8/1/11,880.01,Bq/m3,
10202,Beryllium-7,8/11/10,691.31,Bq/m3,
9054,Beryllium-7,8/12/10,665.66,Bq/m3,
9054,Beryllium-7,8/22/13,802.86,Bq/m3,
9054,Beryllium-7,8/3/21,650.1744501,Bq/m3,
9054,Beryllium-7,8/4/20,549.4195555,Bq/m3,
10202,Beryllium-7,8/4/20,1304.825727,Bq/m3,
10202,Beryllium-7,9/6/21,1292.459382,Bq/m3,
9054,Beryllium-7,9/7/21,580.8314351,Bq/m3,
9054,Beryllium-7,9/8/20,526.556097,Bq/m3,
10202,Beryllium-7,9/8/20,1355.237076,Bq/m3,
9054,Bicarbonate,1/10/22,68.8,mg/l,2.6
10202,Bicarbonate,1/11/22,76.0,mg/l,2.8
10202,Bicarbonate,1/23/23,77.0,mg/l,2.8
9054,Bicarbonate,1/24/23,71.4,mg/l,2.7
10202,Bicarbonate,10/17/22,79.9,mg/l,2.8
10202,Bicarbonate,10/18/21,79.3,mg/l,2.8
9054,Bicarbonate,10/19/22,71.5,mg/l,2.7
10202,Bicarbonate,10/2/23,80.4,mg/l,3.0
9054,Bicarbonate,10/3/23,73.0,mg/l,2.8
9054,Bicarbonate,10/5/21,65.3,mg/l,2.5
9054,Bicarbonate,11/10/21,69.2,mg/l,2.6
10202,Bicarbonate,11/24/21,75.7,mg/l,2.8
10202,Bicarbonate,12/1/20,74.8,mg/l,2.8
10202,Bicarbonate,12/18/19,77.6,mg/l,2.8
9054,Bicarbonate,12/19/19,65.5,mg/l,2.5
9054,Bicarbonate,12/2/20,62.2,mg/l,2.5
10202,Bicarbonate,12/2/21,79.6,mg/l,2.8
9054,Bicarbonate,12/6/21,68.1,mg/l,2.6
10202,Bicarbonate,2/1/22,76.6,mg/l,2.8
9054,Bicarbonate,2/2/22,69.2,mg/l,2.6
10202,Bicarbonate,3/1/21,74.7,mg/l,2.8
9054,Bicarbonate,3/2/21,62.4,mg/l,2.5
10202,Bicarbonate,3/3/20,71.0,mg/l,2.7
10202,Bicarbonate,4/10/18,71.1,mg/l,2.0
9054,Bicarbonate,4/10/19,67.2,mg/l,2.6
10202,Bicarbonate,4/20/22,79.0,mg/l,2.8
9054,Bicarbonate,4/21/22,69.9,mg/l,2.6
9054,Bicarbonate,4/3/17,65.8,mg/l,2.0
9054,Bicarbonate,4/3/23,71.1,mg/l,2.7
10202,Bicarbonate,4/3/23,92.6,mg/l,3.2
9054,Bicarbonate,4/4/16,63.3,mg/l,1.9
10202,Bicarbonate,4/4/16,73.1,mg/l,2.1
10202,Bicarbonate,4/4/17,72.3,mg/l,2.1
9054,Bicarbonate,4/8/20,55.2,mg/l,2.3
9054,Bicarbonate,4/9/18,65.6,mg/l,2.0
10202,Bicarbonate,4/9/19,72.0,mg/l,2.7
10202,Bicarbonate,6/10/21,76.3,mg/l,2.8
9054,Bicarbonate,6/2/20,74.4,mg/l,2.8
10202,Bicarbonate,6/2/20,75.0,mg/l,2.8
9054,Bicarbonate,6/7/21,62.2,mg/l,2.5
10202,Bicarbonate,7/18/22,79.0,mg/l,2.8
9054,Bicarbonate,7/19/22,70.0,mg/l,2.6
9054,Bicarbonate,7/3/23,76.1,mg/l,2.8
10202,Bicarbonate,7/3/23,79.8,mg/l,2.8
9054,Bicarbonate,7/6/21,64.8,mg/l,2.5
10202,Bicarbonate,7/6/21,78.1,mg/l,2.8
10202,Bicarbonate,8/2/21,73.4,mg/l,2.8
9054,Bicarbonate,8/3/21,65.9,mg/l,2.5
10202,Bicarbonate,9/6/21,76.8,mg/l,2.8
9054,Bicarbonate,9/7/21,64.7,mg/l,2.5
9054,Bicarbonate,9/8/20,58.1,mg/l,2.3
10202,Bicarbonate,9/8/20,61.1,mg/l,2.5
9054,Boron,2/24/10,25.9,µg/l,0.72
9054,Boron,4/16/10,27.2,µg/l,0.5
10202,Boron,4/21/10,29.0,µg/l,0.94
9054,Boron,5/6/10,23.7,µg/l,0.64
9054,Boron,6/3/10,25.4,µg/l,0.84
9054,Cadmium,2/24/10,0.02,µg/l,0.01
9054,Cadmium,4/16/10,0.01,µg/l,0.0
10202,Cadmium,4/21/10,0.03,µg/l,0.02
9054,Cadmium,5/6/10,0.59,µg/l,0.03
9054,Cadmium,6/3/10,0.07,µg/l,0.0
9054,Caesium-137,1/10/11,80.35,Bq/m3,
9054,Caesium-137,1/10/12,51.35,Bq/m3,
10202,Caesium-137,1/10/12,90.74,Bq/m3,
9054,Caesium-137,1/10/22,73.53255334,Bq/m3,
10202,Caesium-137,1/11/16,124.0235341,Bq/m3,
9054,Caesium-137,1/11/21,63.93251407,Bq/m3,
10202,Caesium-137,1/11/21,120.0528319,Bq/m3,
10202,Caesium-137,1/11/22,148.0659398,Bq/m3,
9054,Caesium-137,1/12/15,70.64,Bq/m3,
10202,Caesium-137,1/12/15,111.07,Bq/m3,
10202,Caesium-137,1/15/20,144.0444138,Bq/m3,
9054,Caesium-137,1/17/20,67.91288683,Bq/m3,
10202,Caesium-137,1/23/23,122.1087358,Bq/m3,
9054,Caesium-137,1/24/23,62.75191342,Bq/m3,
9054,Caesium-137,1/7/14,66.16,Bq/m3,
9054,Caesium-137,1/8/13,62.16,Bq/m3,
10202,Caesium-137,1/8/13,88.34,Bq/m3,
10202,Caesium-137,1/8/14,90.03,Bq/m3,
10202,Caesium-137,10/1/12,114.06,Bq/m3,
10202,Caesium-137,10/1/14,101.05,Bq/m3,
10202,Caesium-137,10/10/13,103.03,Bq/m3,
9054,Caesium-137,10/10/16,62.1551845,Bq/m3,
10202,Caesium-137,10/10/16,101.056985,Bq/m3,
10202,Caesium-137,10/10/17,106.0399601,Bq/m3,
10202,Caesium-137,10/13/10,92.44,Bq/m3,
9054,Caesium-137,10/14/10,84.33,Bq/m3,
10202,Caesium-137,10/17/22,126.07973,Bq/m3,
10202,Caesium-137,10/18/21,170.0887422,Bq/m3,
9054,Caesium-137,10/19/22,70.23590481,Bq/m3,
10202,Caesium-137,10/2/23,128.0573666,Bq/m3,
9054,Caesium-137,10/29/19,66.40875124,Bq/m3,
10202,Caesium-137,10/3/11,80.9,Bq/m3,
